✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 90ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 110ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 62ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 80ms
✨4.4.2025, 2:44:37✨ | GET /fruit | Status: 200 | 15ms
✨4.4.2025, 2:44:37✨ | GET /fruit | Status: 200 | 16ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 15ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 16ms
✨4.4.2025, 2:44:37✨ | GET /vegetable | Status: 200 | 17ms
✨4.4.2025, 2:44:37✨ | GET /vegetable | Status: 200 | 18ms
✨4.4.2025, 2:44:37✨ | GET /fruit | Status: 200 | 11ms
✨4.4.2025, 2:44:37✨ | GET /fruit | Status: 200 | 13ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 12ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 12ms
✨4.4.2025, 2:44:37✨ | GET /vegetable | Status: 200 | 12ms
✨4.4.2025, 2:44:37✨ | GET /vegetable | Status: 200 | 13ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 4ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 4ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 1ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:37✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 1ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 1ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 1ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 1ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 1ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 1ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 3ms
✨4.4.2025, 2:44:38✨ | GET / | Status: 200 | 2ms
